"id","sexo","tramo_edad","quintil_ingreso","educ","ideologia","trade_crecimiento_desigualdad","trade_ambiente_empleo","trade_derechos_laborales","provision_pensiones","provision_salud","provision_educ_escolar","provision_educ_universitaria","provision_cuidado_ninos","provision_cuidado_mayores","zona","region","condicion_exp","emocion_pais","eval_pais_retro","eval_pais_prospectivo","problema_delincuencia","problema_migracion","problema_crecimiento","problema_desempleo","problema_salud","problema_corrupcion","problema_pobreza","problema_sueldos","problema_precios","problema_educacion","problema_pensiones","problema_vivienda","problema_genero","problema_ambiente","problema_transporte","problema_desigualdad","emergencia_economica","medida_imp_empresas","medida_tramites_amb","medida_gratuidad","medida_contrib_adulto","medida_imp_inversionistas","percep_benef_empresas","percep_necesarias","percep_prioriza_ricos","percep_bases_solidas","percep_confianza_plan","gob_distinto_campana","gob_favorece_ricos","gob_buen_camino","gob_capacidad","tiempo_confianza_gob","meta_prioritaria_kast","voto_2da_vuelta","eval_gobierno_kast","gob_vs_expectativa","intervencion_estado","trade_estado_grande","resp_estado_pensiones","resp_estado_empleo","resp_estado_educ_uni","resp_estado_salud","resp_estado_vivienda","resp_estado_transporte","resp_estado_internet","fichas_salud","fichas_educ","fichas_pensiones","fichas_seguridad","fichas_vivienda","fichas_fomento","fichas_redes","justo_pension_aporte","justo_educ_pago","justo_salud_pago","imp_prefiero_menos","imp_justo_ricos_mas","imp_mal_gasto_estado","imp_bajar_genera_empleo","chequeo_atencion","redistrib_reducir_diferencias","redistrib_ayuda_pobres","redistrib_nivel_vida_desemp","imp_aumentar_altos_ingresos","imp_herencia_ricos","educacion_nivel","actividad_principal","ingreso_hogar","llega_fin_mes","impacto_alza_precios","economia_hogar_retro","economia_hogar_prospectiva","autoubicacion_izq_der","edad_grupo_banda","educacion_nivel_r","ingreso_hogar_r","zona_r","autoubicacion_izq_der_r","ponderador","gse"
349,"Hombre","50-99","Q3","Básica hasta media","Ninguno",2,1,1,1,1,1,1,1,1,1,13,1,6,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1,1,1,4,1,5,1,5,2,2,5,5,1,1,7,7,2,2,2,5,4,1,1,1,1,1,1,2,2,2,1,2,1,1,1,4,1,1,2,4,3,3,2,4,4,4,5,5,5,3,6,3,2,2,2,12,3,13,14,13,12,3.005159302725,"C3"
350,"Hombre","30-49","Q3","Universitaria o más","Derecha",2,1,1,1,1,1,2,2,2,1,6,2,6,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,2,4,5,2,5,2,1,5,5,NA,2,6,6,1,2,2,5,4,1,1,1,1,1,1,2,2,1,2,1,1,2,1,5,NA,1,1,5,3,2,2,7,7,7,7,7,9,1,5,1,4,2,3,7,2,12,14,18,NA,0.07687824389843,"ABC1"
351,NA,"18-29","Q1","Básica hasta media","Ninguno",4,1,1,1,1,1,1,2,1,3,15,3,9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1,2,2,3,1,4,1,4,1,5,4,2,3,2,3,4,3,3,4,3,1,1,1,1,1,1,2,2,2,1,3,1,0,1,3,2,1,2,3,4,3,2,5,6,6,4,4,5,2,11,2,3,1,2,12,1,13,12,17,12,2.11588504103842,"E"
352,"Mujer","18-29","Q1","Universitaria o más","Derecha",1,3,2,2,2,2,2,2,2,1,5,3,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,4,5,4,4,4,4,2,3,4,4,2,1,2,1,2,4,4,1,2,2,1,1,1,1,2,1,2,2,1,1,1,4,3,1,1,3,4,2,2,4,5,5,5,7,9,4,2,3,2,3,4,7,1,12,12,18,14,0.14250478171484,"C3"
353,"Hombre","50-99","Q3","Universitaria o más","Izquierda",1,1,1,2,1,1,1,1,1,2,4,3,14,5,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,1,5,1,5,1,5,1,1,5,5,1,1,6,7,2,2,3,5,1,1,1,1,1,1,1,1,3,2,3,1,1,0,0,5,1,1,1,5,1,1,2,7,7,7,7,7,8,1,5,3,4,2,1,1,3,12,14,17,13,0.13955431009978,"C3"
354,"Mujer","30-49","Q5","Universitaria o más","Ninguno",1,1,1,1,1,1,1,1,1,1,6,2,14,4,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1,1,5,1,5,3,5,3,1,5,5,1,4,5,1,5,2,3,3,5,1,2,2,1,2,1,2,3,1,2,2,1,1,0,5,1,1,1,5,3,1,2,7,7,7,7,7,9,1,9,3,3,3,5,12,2,12,16,18,12,1.49954487986896,"ABC1"
355,"Mujer","30-49","Q2","Básica hasta media","Ninguno",1,1,1,1,1,1,1,1,1,1,5,2,11,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,5,5,1,5,1,5,5,5,1,5,5,2,3,1,1,3,5,5,1,1,1,1,1,1,1,2,2,1,3,1,0,1,1,1,1,2,5,5,5,2,7,7,7,7,7,5,5,4,3,3,2,3,12,2,13,13,18,12,1.97572610336407,"D"
356,"Hombre","30-49","Q5","Técnica superior","Centro",4,2,2,1,2,1,1,1,2,1,6,1,11,5,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,2,4,5,3,5,3,5,2,1,5,5,1,1,2,1,4,2,2,4,1,1,1,1,1,1,1,1,2,2,2,1,0,1,2,5,3,2,2,4,5,1,2,3,4,4,7,5,7,6,9,2,4,1,2,6,2,11,16,18,6,1.2826818493434,"C2"
357,"Hombre","30-49","Q3","Técnica superior","Ninguno",1,1,1,2,1,1,1,1,1,1,13,3,12,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,3,3,5,5,5,2,4,5,5,2,2,3,2,3,3,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,2,0,5,1,1,3,3,5,5,2,4,7,7,1,7,6,1,5,3,4,3,3,12,2,11,14,13,12,0.08582705991441,"C3"
358,"Hombre","30-49","Q3","Técnica superior","Derecha",2,2,2,1,1,3,1,3,3,1,5,NA,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,1,5,3,4,5,3,4,4,2,3,5,5,3,2,1,1,3,4,3,1,1,1,NA,1,1,1,2,2,2,1,2,1,0,5,4,2,2,3,4,4,2,5,5,6,6,5,7,1,6,3,2,3,4,8,2,11,14,18,14,0.11419917115596,"C2"
359,"Mujer","18-29","Q1","Básica hasta media","Derecha",4,3,4,1,1,1,1,1,3,5,16,1,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,3,3,5,3,4,3,4,4,4,4,3,4,4,3,2,1,1,2,2,2,1,1,1,1,2,1,1,4,0,0,6,0,0,0,3,4,3,2,4,4,4,2,6,7,7,7,6,5,4,11,2,3,4,3,7,1,13,12,19,14,3.83159556158482,"C3"
360,"Mujer","30-49","Q4","Técnica superior","Ninguno",3,3,4,2,2,2,2,2,2,5,9,2,7,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,1,5,4,5,3,5,3,3,5,5,1,1,3,1,3,2,2,4,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,5,1,3,3,5,3,3,2,4,4,4,4,4,7,1,7,3,2,2,3,12,2,11,15,19,12,1.02180922821364,"C2"
361,"Mujer","30-49","Q4","Universitaria o más","Derecha",4,2,2,1,1,1,2,1,2,1,13,3,12,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,4,5,4,4,3,4,4,4,5,5,3,3,4,2,1,2,2,3,4,1,1,1,1,1,1,1,2,2,1,2,1,1,1,5,1,1,1,5,5,3,2,1,6,5,7,1,9,1,7,2,3,1,4,11,2,12,15,13,14,0.38353834970751,"C2"
362,"Mujer","50-99","Q5","Universitaria o más","Derecha",3,4,2,2,2,2,2,2,2,1,6,2,5,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,2,4,2,4,4,4,2,3,3,2,1,1,3,2,3,3,1,2,1,1,1,1,2,2,2,2,2,1,1,0,5,1,1,1,4,5,4,2,1,5,3,5,1,10,3,9,3,2,3,4,8,3,12,16,18,14,2.56259945408256,"ABC1"
363,"Mujer","18-29","Q2","Técnica superior","Ninguno",4,4,3,2,2,2,3,3,1,1,5,2,2,3,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,4,5,5,4,5,4,4,5,4,3,4,4,3,3,3,2,1,3,3,3,4,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,3,4,3,3,4,2,2,5,3,4,5,2,6,1,4,3,4,2,2,12,1,11,13,18,12,0.18667002076628,"D"
